x_Br,z_Ge,composition,Eg_eV,Ehull_proxy_eV_atom,Eox_proxy_eV_per_Sn,tolerance_factor,S_gap_single,S_hull,S_ox,S_strain,Score_single,Score_tandem,Rank_single,Rank_tandem,P_top1_single,P_top5_single,P_top10_single,P_top20_single,mean_rank_single,P_top1_tandem,P_top5_tandem,P_top10_tandem,P_top20_tandem,mean_rank_tandem,P_top1_descriptor_stress,P_top10_descriptor_stress,mean_rank_descriptor_stress
0.85,0.0,CsSn(I0.15Br0.85)3,1.684425,0.011375,-1.42075,0.8629552531105346,0.07163362584479525,0.6844315312378836,0.2306393601252627,0.9924518435396147,0.32547860999436506,0.6282867969026783,152,134,0.0,0.0,0.0,0.0,160.7737,0.0,0.0,0.0,0.0001,148.4154,0.0,0.0,155.4898
0.9,0.0,CsSn(I0.10Br0.90)3,1.7123,0.011349999999999999,-1.4235,0.8635463345464032,0.045951811852511945,0.6850021285631134,0.22937432567824242,0.9925536263730084,0.2909533329905701,0.6278886780988316,161,136,0.0,0.0,0.0,0.0,169.4096,0.0,0.0,0.0,0.0,149.153,0.0,0.0,165.0588
0.95,0.0,CsSn(I0.05Br0.95)3,1.740825,0.011324999999999998,-1.42625,0.8641419166023416,0.02814917175963881,0.6855732015842932,0.22811622982206495,0.9926554931956998,0.25710975077530196,0.6219147587611152,171,140,0.0,0.0,0.0,0.0,178.2187,0.0,0.0,0.0,0.0,152.2673,0.0,0.0,174.7934
1.0,0.0,CsSn(I0.00Br1.00)3,1.77,0.0113,-1.429,0.8647420508778161,0.016426015518885576,0.6861447506980017,0.22686503449923465,0.9927574367997638,0.22446036879549205,0.6101465417060016,180,149,0.0,0.0,0.0,0.0,187.1503,0.0,0.0,0.0,0.0002,157.7182,0.0,0.0,184.6758
0.0,0.05,CsSn0.95Ge0.05I3,1.329,0.0112111,-1.30533,0.8592689999228931,0.9973147229348499,0.6881810419239556,0.29052664085299496,0.9918016766910015,0.6668627114587611,0.31062431599889323,43,229,0.0003,0.0336,0.1027,0.3256,62.4411,0.0,0.0,0.0,0.0,225.4124,0.0,0.005,45.2716
0.05,0.05,CsSn0.95Ge0.05(I0.95Br0.05)3,1.3466999999999998,0.01118749,-1.3079415000000003,0.8598147917701017,0.9990029418375815,0.6887228535788709,0.2890131760616963,0.9918996145940753,0.6664217402961009,0.3331932706012721,44,226,0.0,0.0271,0.1012,0.3439,61.4629,0.0,0.0,0.0,0.0,222.6871,0.0,0.001,45.312
0.1,0.05,CsSn0.95Ge0.05(I0.90Br0.10)3,1.3650499999999999,0.01116388,-1.3105530000000003,0.8603645131221349,0.9861522741953103,0.6892650918073933,0.2875075954894415,0.9919976699826533,0.6635483289433889,0.35702353019638194,45,223,0.0,0.0117,0.0845,0.3467,61.8049,0.0,0.0,0.0,0.0,219.2345,0.0,0.0,46.9964
0.15,0.05,CsSn0.95Ge0.05(I0.85Br0.15)3,1.38405,0.01114027,-1.3131645,0.8609182065688389,0.9577963943859966,0.6898077569453682,0.286009858064307,0.9920958375592978,0.6580122448059064,0.38200111990077024,47,219,0.0,0.0,0.0496,0.3237,63.6162,0.0,0.0,0.0,0.0,215.059,0.0,0.0,49.8234
0.2,0.05,CsSn0.95Ge0.05(I0.80Br0.20)3,1.4037,0.01111666,-1.315776,0.86147591531777,0.9137750179304683,0.690350849328906,0.2845199229283288,0.9921941118525718,0.6496128662264297,0.40796304529081934,52,214,0.0,0.0,0.009,0.2715,66.9655,0.0,0.0,0.0,0.0,210.1593,0.0,0.0,53.841
0.25,0.05,CsSn0.95Ge0.05(I0.75Br0.25)3,1.424,0.011093049999999998,-1.3183875,0.8620376832054344,0.8548750167246699,0.690894369294381,0.28303774943638776,0.9922924872120911,0.6381893992737666,0.43469085633819843,59,208,0.0,0.0,0.0,0.1716,71.5146,0.0,0.0,0.0,0.0,204.5078,0.0,0.0,59.668
0.3,0.05,CsSn0.95Ge0.05(I0.70Br0.30)3,1.4449499999999997,0.011069440000000002,-1.3209990000000003,0.8626035547087756,0.7828871471156751,0.6914383171784326,0.28156329715510064,0.9923909578034295,0.6236312389314029,0.46190499454907114,67,202,0.0,0.0,0.0,0.0586,77.0465,0.0,0.0,0.0,0.0,198.1061,0.0,0.0,66.751
0.35,0.05,CsSn0.95Ge0.05(I0.65Br0.35)3,1.46655,0.01104583,-1.3236105,0.8631735749569096,0.7005519727114182,0.6919826933179655,0.2800965258617178,0.9924895176028713,0.6058879439949764,0.48926049540358024,74,194,0.0,0.0,0.0,0.0015,83.4871,0.0,0.0,0.0,0.0,191.0096,0.0,0.0,74.1276
0.4,0.05,CsSn0.95Ge0.05(I0.60Br0.40)3,1.4888000000000001,0.01102222,-1.3262220000000002,0.8637477897431259,0.6113828012697365,0.6925274980501493,0.2786373955430243,0.9925881603920078,0.5849782018280679,0.5163447098085323,80,185,0.0,0.0,0.0,0.0,90.6351,0.0,0.0,0.0,0.0,183.2573,0.0,0.0,81.728
0.45,0.05,CsSn0.95Ge0.05(I0.55Br0.45)3,1.5116999999999998,0.010998609999999999,-1.3288335000000002,0.8643262455371492,0.5193740778419559,0.6930727317124191,0.27718586639425047,0.9926868797521705,0.5609970939450293,0.5426777738001669,88,176,0.0,0.0,0.0,0.0,98.2543,0.0,0.0,0.0,0.0,175.007,0.0,0.0,89.728
0.5,0.05,CsSn0.95Ge0.05(I0.50Br0.50)3,1.53525,0.010975,-1.3314450000000002,0.8649089894976767,0.4286270628242829,0.6936183946424759,0.2757418988179842,0.992785669058698,0.5341209501613744,0.5677165779711578,96,168,0.0,0.0,0.0,0.0,106.1069,0.0,0.0,0.0,0.0,166.4763,0.0,0.0,97.9562
0.55,0.05,CsSn0.95Ge0.05(I0.45Br0.55)3,1.55945,0.01095139,-1.3340565000000002,0.8654960694851926,0.34294523818493194,0.6941644871782863,0.2743054534230919,0.9928845214750295,0.5046091110761399,0.5908629480262104,103,159,0.0,0.0,0.0,0.0,114.1238,0.0,0.0,0.0,0.0,157.958,0.0,0.0,106.4402
0.6,0.05,CsSn0.95Ge0.05(I0.40Br0.60)3,1.5843,0.01092778,-1.3366680000000002,0.8660875340750741,0.2654635978644257,0.6947110096580832,0.2728764910236434,0.9929834299466197,0.4728020165831189,0.611476626561392,114,147,0.0,0.0,0.0,0.0,122.3333,0.0,0.0,0.0,0.0001,149.8151,0.0,0.0,115.142
0.65,0.05,CsSn0.95Ge0.05(I0.35Br0.65)3,1.6098000000000001,0.01090417,-1.3392795000000002,0.8666834325709861,0.1983740500333336,0.6952579624203655,0.271454972637843,0.9930823871946695,0.43911520772643714,0.6288934275734447,122,133,0.0,0.0,0.0,0.0,130.7436,0.0,0.0,0.0,0.0003,142.4419,0.0,0.0,124.1568
0.7,0.05,CsSn0.95Ge0.05(I0.30Br0.70)3,1.6359499999999998,0.010880559999999997,-1.3418910000000002,0.8672838150185841,0.14279225032243956,0.6958053458038992,0.2700408594869662,0.9931813857096663,0.40402906919853115,0.6424486098070611,131,124,0.0,0.0,0.0,0.0,139.3481,0.0,0.0,0.0,0.0004,136.5668,0.0,0.0,133.4496
0.75,0.05,CsSn0.95Ge0.05(I0.25Br0.75)3,1.66275,0.010856949999999999,-1.3445025000000002,0.8678887322195232,0.09878250920660275,0.6963531601477161,0.2686341129943019,0.9932804177447269,0.3680744398887903,0.6515050839702599,140,118,0.0,0.0,0.0,0.0,148.1641,0.0,0.0,0.0,0.0005,132.7118,0.0,0.0,142.974
0.8,0.05,CsSn0.95Ge0.05(I0.20Br0.80)3,1.6902,0.010833339999999999,-1.3471140000000001,0.8684982357457895,0.0655242993809887,0.6969014057911159,0.2672346947840996,0.9933794753087384,0.3318145590208178,0.6554855480200218,149,116,0.0,0.0,0.0,0.0,157.1437,0.0,0.0,0.0,0.0003,131.2372,0.0,0.0,152.6636
0.85,0.05,CsSn0.95Ge0.05(I0.15Br0.85)3,1.7183000000000002,0.01080973,-1.3497255000000001,0.8691123779543547,0.04157559261024671,0.6974500830736646,0.2658425666805231,0.9934785501592872,0.2958241659309102,0.653907068194694,160,117,0.0,0.0,0.0,0.0,166.2942,0.0,0.0,0.0,0.0009,132.454,0.0,0.0,162.5004
