x_Br,z_Ge,Eg_eV,Ehull_proxy_eV_atom,Eox_proxy_eV_Sn,t,SJ_score,Tandem_score,pareto_single,pareto_tandem
0.2,0.45,1.5837,0.0064499904,-0.76200146,0.9110255765279307,0.6561239080555105,0.8465333982713183,False,False
0.2,0.5,1.6062000000000003,0.0058666560000000005,-0.6927794,0.917622961617045,0.6404698121975451,0.9041560693761711,True,True
0.25,0.0,1.400625,0.011675,-1.38775,0.8561955603523856,0.624928633793014,0.3876634077353176,False,False
0.25,0.05,1.424,0.0110930545,-1.3183890500000002,0.8620376832054344,0.6382000491482267,0.4346981103023887,False,False
0.25,0.1,1.447375,0.010511109,-1.2490281,0.8679600795022657,0.6477995724308937,0.4844825173139435,False,False
0.25,0.15,1.47075,0.0099291635,-1.1796671500000002,0.8739644151790686,0.6535542048378439,0.5366925913749395,False,False
0.25,0.2,1.494125,0.009347218,-1.1103062,0.8800524025913066,0.6553592101815482,0.5909216861037419,False,False
0.25,0.25,1.5175,0.0087652725,-1.04094525,0.8862258021418303,0.6531812835311944,0.6466820211681273,False,False
0.25,0.3,1.540875,0.008183327,-0.9715843000000001,0.892486423977997,0.6470595719152202,0.7034088940427742,False,False
0.25,0.35,1.5642500000000001,0.0076013815000000005,-0.9022233500000001,0.8988361297612397,0.6371045034349346,0.7604677448712643,False,False
0.25,0.4,1.587625,0.0070194359999999996,-0.8328624,0.9052768345127136,0.623494473740536,0.8171640757381182,False,False
0.25,0.45,1.6110000000000002,0.0064374904999999994,-0.76350145,0.9118105085388677,0.6064705287954846,0.8727560996363773,False,False
0.25,0.5,1.634375,0.005855544999999999,-0.6941405,0.9184391794410083,0.5863292653555013,0.9264698635990635,True,True
0.3,0.0,1.4206999999999999,0.011649999999999999,-1.3905,0.8567363902647166,0.614454216181719,0.41303586129888625,False,False
0.3,0.05,1.4449499999999997,0.011069443399999998,-1.32100016,0.8626035547087756,0.6236417731913844,0.4619127969601685,False,False
0.3,0.1,1.4691999999999998,0.0104888868,-1.25150032,0.8685516331583458,0.6288356161544658,0.5132021801995892,False,False
0.3,0.15,1.49345,0.009908330199999999,-1.1820004800000001,0.8745823110617751,0.6299339916248407,0.5664648544272964,False,False
0.3,0.2,1.5176999999999998,0.009327773599999999,-1.11250064,0.8806973210054949,0.6269149641673147,0.6211737963631871,False,False
0.3,0.25,1.5419499999999997,0.008747217,-1.0430008,0.886898444373551,0.6198371435528672,0.6767194409281401,False,False
0.3,0.3,1.5661999999999998,0.0081666604,-0.9735009600000001,0.8931875130777441,0.6088377920882194,0.7324183601657999,False,False
0.3,0.35,1.59045,0.0075861038,-0.9040011200000001,0.8995664113619052,0.5941283974798671,0.7875252655140036,False,False
0.3,0.4,1.6146999999999998,0.007005547199999999,-0.83450128,0.9060370776840415,0.5759879107101946,0.8412481418207336,False,False
0.3,0.45,1.6389499999999997,0.006424990599999999,-0.76500144,0.9126015066803034,0.5547539509493697,0.8927661565541575,False,False
0.3,0.5,1.6631999999999996,0.005844433999999999,-0.6955016,0.9192617512149471,0.5308123647676214,0.9412498283736376,True,True
0.35,0.0,1.4414250000000002,0.011625,-1.39325,0.8572811582589331,0.6010171157648718,0.4389227427394145,False,False
0.35,0.05,1.46655,0.0110458323,-1.3236112700000002,0.8631735749569096,0.6058983022428268,0.4892688597909641,False,False
0.35,0.1,1.491675,0.0104666646,-1.2539725400000001,0.8691475538669465,0.6065412692496427,0.5415702395729545,False,False
0.35,0.15,1.5168000000000001,0.0098874969,-1.1843338100000003,0.8752048002544351,0.6029321062575362,0.5952637574281847,False,False
0.35,0.2,1.5419250000000002,0.0093083292,-1.11469508,0.881347067255597,0.595146108487022,0.6496975428369692,False,False
0.35,0.25,1.56705,0.0087291615,-1.04505635,0.8875761575691671,0.5833451646109431,0.7041413098497014,False,False
0.35,0.3,1.5921750000000001,0.0081499938,-0.9754176200000001,0.8938939252203238,0.5677721596870009,0.7578005398205018,False,False
0.35,0.35,1.6173000000000002,0.007570826100000001,-0.9057788900000001,0.9003022774004918,0.5487426636068731,0.8098342483166233,False,False
0.35,0.4,1.642425,0.0069916584,-0.83614016,0.9068031763868561,0.5266343022903996,0.8593758621790683,False,False
0.35,0.45,1.6675500000000003,0.0064124907,-0.76650143,0.913398641545642,0.501874311444055,0.9055565370283345,False,False
0.35,0.5,1.692675,0.005833323,-0.6968627000000002,0.9200907514234594,0.4749258451572715,0.9475300735894527,True,True
0.4,0.0,1.4628000000000003,0.0116,-1.3960000000000001,0.8578299075052391,0.5845576409871568,0.4650083637287116,False,False
0.4,0.05,1.4888000000000001,0.0110222212,-1.3262223800000001,0.8637477897431259,0.5849883220384992,0.516353642649281,False,False
0.4,0.1,1.5148000000000004,0.0104444424,-1.2564447600000002,0.8697478901658554,0.5810303868766101,0.5690697763953497,False,False
0.4,0.15,1.5408000000000002,0.009866663599999999,-1.1866671400000002,0.8758319341667046,0.5727722860953766,0.6224655162751543,False,False
0.4,0.2,1.5668,0.0092888848,-1.11688952,0.8820016957567955,0.5603976961112123,0.6757658925748915,False,False
0.4,0.25,1.5928000000000002,0.008711106,-1.0471119,0.8882589992896753,0.5441787272488231,0.7281286398188439,False,False
0.4,0.3,1.6188,0.0081333272,-0.9773342800000001,0.8946057212598301,0.5244659771701619,0.7786647225595327,False,False
0.4,0.35,1.6448000000000003,0.0075555484,-0.9075566600000001,0.9010437921788599,0.5016759373330368,0.8264623544573447,False,False
0.4,0.4,1.6708,0.006977769599999999,-0.83777904,0.9075751985332491,0.4762763838889765,0.8706136642005025,False,False
0.4,0.45,1.6968000000000003,0.006399990799999999,-0.7680014200000002,0.91420198482791,0.44877046757349837,0.9102429564203374,False,True
0.4,0.5,1.7228,0.005822211999999999,-0.6982238000000002,0.9209262557199102,0.4196802555342587,0.944535360905454,True,True
0.45,0.0,1.484825,0.011575,-1.3987500000000002,0.8583826818071413,0.5650799531588975,0.49091315142966735,False,False
0.45,0.05,1.5116999999999998,0.0109986101,-1.3288334900000003,0.8643262455371492,0.5610069138176053,0.5426872730055035,False,False
0.45,0.1,1.538575,0.0104222202,-1.2589169800000002,0.8703526913148331,0.5525034588483873,0.5951179931684628,False,False
0.45,0.15,1.5654499999999998,0.0098458303,-1.1890004700000003,0.8764637649783013,0.5397715198775079,0.6473880861313162,False,False
0.45,0.2,1.592325,0.0092694404,-1.11908396,0.8826612617451184,0.5231097290787664,0.6986090236786908,False,False
0.45,0.25,1.6192000000000002,0.0086930505,-1.0491674500000001,0.8889470279705544,0.5029017776206633,0.7478443573480835,False,False
0.45,0.3,1.646075,0.0081166606,-0.9792509400000001,0.8953229629815004,0.4796017369470437,0.7941370431699243,False,False
0.45,0.35,1.6729500000000002,0.007540270700000001,-0.9093344300000001,0.9017910209898753,0.4537171265193228,0.8365396628227206,False,False
0.45,0.4,1.699825,0.0069638808,-0.8394179200000002,0.9083532130895752,0.4257906080919893,0.8741462494540087,False,True
0.45,0.45,1.7267000000000001,0.0063874909,-0.7695014100000002,0.9150116093412499,0.3963812244920029,0.9061242485123746,False,False
0.45,0.5,1.7535749999999999,0.005811101,-0.6995849000000002,0.9217683409494474,0.3660460800308569,0.9317450513404579,True,True
