application,x_Br,z_Ge,top10_fraction,top1_fraction,mean_rank
single-junction,0.0,0.25,0.9637,0.0002,11.8414
single-junction,0.05,0.25,0.9775,0.0,14.6056
single-junction,0.1,0.25,0.8934,0.0011,19.4086
single-junction,0.15,0.25,0.3524,0.0004,26.921
single-junction,0.2,0.25,0.0489,0.0,37.4336
single-junction,0.25,0.25,0.0045,0.0,50.346
single-junction,0.3,0.25,0.0,0.0,64.4404
single-junction,0.35,0.25,0.0,0.0,78.4661
single-junction,0.4,0.25,0.0,0.0,91.7496
single-junction,0.45,0.25,0.0,0.0,104.1511
single-junction,0.5,0.25,0.0,0.0,115.9074
single-junction,0.55,0.25,0.0,0.0,127.3253
single-junction,0.6,0.25,0.0,0.0,138.594
single-junction,0.65,0.25,0.0,0.0,149.782
single-junction,0.7,0.25,0.0,0.0,160.9066
single-junction,0.75,0.25,0.0,0.0,171.9743
single-junction,0.8,0.25,0.0,0.0,182.8562
single-junction,0.85,0.25,0.0,0.0,193.2514
single-junction,0.9,0.25,0.0,0.0,202.6044
single-junction,0.95,0.25,0.0,0.0,210.6002
single-junction,1.0,0.25,0.0,0.0,217.2921
single-junction,0.0,0.3,0.9963,0.032,7.6099
single-junction,0.05,0.3,0.9994,0.0022,10.8903
single-junction,0.1,0.3,0.9854,0.0013,16.499
single-junction,0.15,0.3,0.4826,0.0001,25.2822
single-junction,0.2,0.3,0.0457,0.0,37.6274
single-junction,0.25,0.3,0.0015,0.0,52.6546
single-junction,0.3,0.3,0.0,0.0,68.3789
single-junction,0.35,0.3,0.0,0.0,83.4202
single-junction,0.4,0.3,0.0,0.0,97.319
single-junction,0.45,0.3,0.0,0.0,110.1555
single-junction,0.5,0.3,0.0,0.0,122.3174
single-junction,0.55,0.3,0.0,0.0,134.0922
single-junction,0.6,0.3,0.0,0.0,145.6841
single-junction,0.65,0.3,0.0,0.0,157.1685
single-junction,0.7,0.3,0.0,0.0,168.5364
single-junction,0.75,0.3,0.0,0.0,179.6959
single-junction,0.8,0.3,0.0,0.0,190.418
single-junction,0.85,0.3,0.0,0.0,200.2373
single-junction,0.9,0.3,0.0,0.0,208.744
