x_Br,z_Ge,composition,P_top1_descriptor_stress,P_top10_descriptor_stress,mean_rank_descriptor_stress
0.45,0.15,CsSn0.85Ge0.15(I0.55Br0.45)3,0.0,0.0,95.1834
0.5,0.15,CsSn0.85Ge0.15(I0.50Br0.50)3,0.0,0.0,105.3282
0.55,0.15,CsSn0.85Ge0.15(I0.45Br0.55)3,0.0,0.0,115.4768
0.6,0.15,CsSn0.85Ge0.15(I0.40Br0.60)3,0.0,0.0,125.7302
0.65,0.15,CsSn0.85Ge0.15(I0.35Br0.65)3,0.0,0.0,136.017
0.7,0.15,CsSn0.85Ge0.15(I0.30Br0.70)3,0.0,0.0,146.3986
0.75,0.15,CsSn0.85Ge0.15(I0.25Br0.75)3,0.0,0.0,156.8574
0.8,0.15,CsSn0.85Ge0.15(I0.20Br0.80)3,0.0,0.0,167.3328
0.85,0.15,CsSn0.85Ge0.15(I0.15Br0.85)3,0.0,0.0,177.86
0.9,0.15,CsSn0.85Ge0.15(I0.10Br0.90)3,0.0,0.0,188.2844
0.95,0.15,CsSn0.85Ge0.15(I0.05Br0.95)3,0.0,0.0,197.9592
1.0,0.15,CsSn0.85Ge0.15(I0.00Br1.00)3,0.0,0.0,206.4056
0.0,0.2,CsSn0.80Ge0.20I3,0.0,0.9702,16.3228
0.05,0.2,CsSn0.80Ge0.20(I0.95Br0.05)3,0.0,0.8468,19.2046
0.1,0.2,CsSn0.80Ge0.20(I0.90Br0.10)3,0.0,0.611,23.3464
0.15,0.2,CsSn0.80Ge0.20(I0.85Br0.15)3,0.0,0.0356,29.527
0.2,0.2,CsSn0.80Ge0.20(I0.80Br0.20)3,0.0,0.0,38.034
0.25,0.2,CsSn0.80Ge0.20(I0.75Br0.25)3,0.0,0.0,49.2512
0.3,0.2,CsSn0.80Ge0.20(I0.70Br0.30)3,0.0,0.0,62.6108
0.35,0.2,CsSn0.80Ge0.20(I0.65Br0.35)3,0.0,0.0,76.0534
0.4,0.2,CsSn0.80Ge0.20(I0.60Br0.40)3,0.0,0.0,88.2216
0.45,0.2,CsSn0.80Ge0.20(I0.55Br0.45)3,0.0,0.0,99.4876
0.5,0.2,CsSn0.80Ge0.20(I0.50Br0.50)3,0.0,0.0,110.3898
0.55,0.2,CsSn0.80Ge0.20(I0.45Br0.55)3,0.0,0.0,121.1868
0.6,0.2,CsSn0.80Ge0.20(I0.40Br0.60)3,0.0,0.0,131.9532
0.65,0.2,CsSn0.80Ge0.20(I0.35Br0.65)3,0.0,0.0,142.706
0.7,0.2,CsSn0.80Ge0.20(I0.30Br0.70)3,0.0,0.0,153.5
0.75,0.2,CsSn0.80Ge0.20(I0.25Br0.75)3,0.0,0.0,164.3002
0.8,0.2,CsSn0.80Ge0.20(I0.20Br0.80)3,0.0,0.0,175.084
0.85,0.2,CsSn0.80Ge0.20(I0.15Br0.85)3,0.0,0.0,185.7284
0.9,0.2,CsSn0.80Ge0.20(I0.10Br0.90)3,0.0,0.0,195.7758
0.95,0.2,CsSn0.80Ge0.20(I0.05Br0.95)3,0.0,0.0,204.6462
1.0,0.2,CsSn0.80Ge0.20(I0.00Br1.00)3,0.0,0.0,212.2456
0.0,0.25,CsSn0.75Ge0.25I3,0.0,0.9998,10.94
0.05,0.25,CsSn0.75Ge0.25(I0.95Br0.05)3,0.0,0.9984,14.293
0.1,0.25,CsSn0.75Ge0.25(I0.90Br0.10)3,0.0,0.9862,19.295
0.15,0.25,CsSn0.75Ge0.25(I0.85Br0.15)3,0.0,0.1408,26.5328
0.2,0.25,CsSn0.75Ge0.25(I0.80Br0.20)3,0.0,0.0,36.5792
