Eg_target_eV,sigma_g_eV,tau_h_eV_atom,lambda_ox_eV,t0,beta,w_g,w_h,w_ox,w_t,rank_z040_x000,rank_z045_x000,rank_z050_x000,rank_z050_x035
1.6745568071120707,0.17394414572887296,0.035070728005329316,0.43318202317820315,0.9520087328386274,25.35439721067653,0.8724686380895472,1.588023771285205,1.6370571116188168,0.7177208338142971,58,36,19,2
1.7785374958055697,0.1593901562574511,0.056057685571214,0.9759910600608439,0.961204223768706,1.6103537956983875,1.8034683413086703,1.7851410452550043,0.605338527028823,1.200481237111247,186,177,164,17
1.7016948124039026,0.12079763599707555,0.03937493024640554,0.41178496509123674,0.955287527451559,4.821250774914237,1.014611361540544,1.7021455461898383,1.7895368599683619,1.3959642469193503,106,72,45,1
1.7669209898453133,0.13471741638636886,0.029892057854388955,0.45011262968509014,0.9642269317640036,42.53905239162693,1.8526177601014095,1.421948458659019,0.6091894484777358,0.8460799414455752,181,167,154,8
1.688129226549214,0.22417487429462224,0.03252129068321407,0.5043562434169155,0.9595095348153769,29.686394325067056,1.139170320833,1.1386644057978668,1.5932798369977907,0.6575562231363314,64,39,21,1
1.7364377222076568,0.1467172284630001,0.04791690238398982,0.4028052822932099,0.9045777529179972,25.8923708662432,1.9538843753910298,1.1561287044435986,1.612552208690182,1.270752065960382,161,137,96,3
1.658458975389173,0.2389367631462971,0.02385643396611993,0.2608549036287031,0.9470542796538401,9.432729355672741,1.3404066140849211,1.576451169948903,0.5434116267182163,1.2848075429995913,60,34,17,3
1.6707262700623522,0.2448847248598524,0.052706056149258766,0.5233414921158328,0.9246584198655272,3.1376884650472623,0.9517453598387414,1.0366908957203658,1.006906665242715,1.2242574590405497,59,35,19,2
1.720062347463339,0.1413366229135263,0.02309022469326135,0.28134060147416656,0.9433792759345826,34.70402111734892,1.011840641400367,1.2116831227905933,1.405411358640535,1.5847541449760292,91,62,35,2
1.6528982007289001,0.12140857075290552,0.018093108937154514,0.760277947570662,0.9596227077370963,11.834698166272991,1.3996906468530144,0.800285657035144,0.863838400872974,0.6520339480698671,133,110,77,3
1.7449660127709463,0.10803261393805497,0.03972226839186069,0.7739607402474964,0.9624148178126228,43.62300310583032,1.978637696103728,1.4834373502706748,0.991000589017609,1.8705596264114415,180,167,153,6
1.7765470931602285,0.1541937804298277,0.03243902797600361,0.73683686970413,0.9152155866376226,27.361712085565536,0.9414875532731936,1.86917894117625,1.214891193195526,0.8703298898692823,170,151,124,6
1.6671274798747218,0.24455222940937585,0.03634759868319591,0.40228030618725386,0.9210421783749397,47.37096547511672,1.9410246089520693,1.4342433083098935,1.9407877140382173,1.7494973850419786,55,33,16,3
1.7461042382862084,0.22661875879643723,0.04431595936731901,0.3823454306996931,0.9670218394376292,49.56651522894429,0.8295339920399623,1.7015853874197262,1.4427299606271162,1.742900716028706,75,49,27,4
1.7029126882645438,0.24216947271986564,0.05144201080662457,0.6517869709091517,0.9216409995976509,5.693894281218968,1.6148247975161498,1.7827206151471602,0.7910806467309559,1.9846604025174155,121,85,56,1
1.724878177692577,0.20418385126358563,0.018536226269340792,0.9033162059984265,0.9696339912960983,22.642070427375838,1.3146074923738245,1.271728587422111,1.7327517931547507,1.435399376811628,113,77,48,3
1.660389598579764,0.17200746672524447,0.05512125011506821,0.9928714510730278,0.9230500749915372,12.125620680195082,0.8776597424958603,0.8475556472016447,0.7545410000733072,0.6300285470350807,117,82,49,3
1.7942611557387187,0.22819544788634102,0.05161269558264322,0.26827978551977266,0.9214018884196749,48.87056396568817,1.4915915591415743,0.5533155990812673,1.6278729742746056,0.6189180170651699,99,68,42,6
1.7367849225214105,0.21669014575975049,0.018202216597145555,0.4556220155727839,0.9538117307058414,9.42789922880743,0.5693005041737976,0.644530286646995,1.0529106810144762,1.6462434989043195,78,47,26,3
1.7637119178124308,0.137018335825471,0.04992572005930493,0.7300977073147197,0.9178223562371569,1.2421850388794742,1.124788156453739,0.8899925442176064,0.8416019867117079,0.8234799566614418,181,167,151,8
1.6405295708564245,0.22244910720671568,0.0331904958604396,0.7962779557361429,0.9394226639193152,32.893385205235354,1.0397357800873583,0.7922344240412691,1.2821595474193588,1.3175857618605522,54,32,15,4
1.7583391251688747,0.2416443678819831,0.057603300505189456,0.9395377054549187,0.9641100089087649,4.668308173321825,0.884913409067063,1.3049715787762486,1.9411686830486925,0.778051554177603,100,70,41,4
1.7454418498963091,0.20339044080788682,0.042739939029083296,0.9539373328022098,0.9469533622682388,9.120058750077582,1.046352434084489,0.5257010334862324,1.7002968840310646,1.4911906587370254,135,101,67,4
1.7464158318654974,0.24833305082905024,0.04746805711550405,0.7174352964679728,0.9471456400946607,27.66325442633689,1.163639673177938,0.8862957750105938,1.570142121390569,0.939433820711285,98,69,43,4
1.6523484155322845,0.16094124066028537,0.034328666384109634,0.8161069874815865,0.9568702887666248,47.633581239849455,0.8926969814532257,1.6528246519803877,1.4335300972835054,1.8824609977216968,64,42,21,3
1.6719172278701344,0.19151374103996538,0.020802330282196684,0.48616841507779096,0.9014566373630526,31.064543576607523,0.6708363827385684,1.3763488287058805,1.6970028555482228,0.6011198069610039,53,30,12,3
1.6371367688980742,0.14498109776122903,0.043939999344182745,0.8620736450876653,0.9500389081426535,36.29679608186212,1.6833754851654263,1.6727302596908669,0.8796385671347972,0.8711202409072918,116,83,51,5
1.7484343320065086,0.2386203217708105,0.04924469718162149,0.5410968891721566,0.9090032902601298,15.870928499598126,1.6704363507159126,1.1500758911044942,1.1011993435463807,0.508563824866307,142,103,70,4
1.6672054499641784,0.1772106216083317,0.028752511699453843,0.5401285352033716,0.9454927138839538,1.593740488468047,1.1081789242250262,0.7573964583873117,1.2689068770942438,1.8382946796111224,74,48,27,2
1.796383120144743,0.23228146753543819,0.047661893724113634,0.4995394817983469,0.9090525039849814,13.562598911954598,0.5741789691679968,1.8097218916152504,1.2346931132316752,1.8538991312421893,91,64,39,6
1.6956168047834295,0.14036037964127915,0.04540813376508809,0.7089445184263777,0.9612926441499512,34.36451338395757,1.5347060027373791,1.4930052575408088,1.7819839376318154,1.1296689812220766,141,101,67,1
1.7811304362487734,0.10190070769578749,0.019485768143991174,0.31623492212681237,0.9610127638593607,5.01086388866772,0.855253531576227,1.6833109319333035,1.8666971856703576,1.0325044181358352,155,127,89,6
1.6240379657675192,0.11948284026991964,0.029462677348492193,0.5965155970598033,0.9611783979247369,7.854661772694263,1.570000208648053,0.9458633189389637,1.7143540315776034,1.2793513417352373,79,50,27,7
1.7224944198902492,0.14946722453952788,0.038367218410557236,0.32162311293640733,0.9618466893217124,12.543553626702172,0.5742774256889132,1.6696360764252403,1.6062337555485011,0.5698264429889968,71,44,23,2
1.745371544739828,0.18927272603551387,0.0236449175638396,0.7623201505643932,0.9402922155585869,6.067387984910822,1.0688531179977523,0.7194021312625074,1.931095961869849,1.818785594043129,121,84,55,4
1.741806610277287,0.14880655737353332,0.03565376688807993,0.8530481513578412,0.9073467038143921,26.075831269924098,0.9223476576922317,1.608836699327525,1.2389906084580438,1.3357713611656115,163,141,105,4
1.763761590222674,0.21241424898413117,0.03689584265656977,0.43886874101211176,0.9568589686552165,10.734437846331476,1.4791198787909965,1.3122055733606213,1.0650194422923491,0.9098977987515948,145,111,73,5
1.665910155478968,0.19952432317459018,0.02755391967048986,0.8989221436401432,0.9205945728341512,47.11849080605142,1.107134301282887,0.5204375696603152,1.4126890269735015,1.2461246721520174,77,50,28,2
1.7893610256759853,0.18134602947068834,0.021629068284321634,0.7938665168770034,0.9363914024030746,49.981615882997524,0.6524746847754809,1.1197540002375002,0.5589423509117813,1.486705358395057,159,138,110,8
